# ---------- 01 Per-Channel Summary ----------
chA: 2 chB: 3 | avgC: 92.8674 avgA: 191.962 avgB: 151.407 MNR: 0.593102 GNR: 0.529533 DICE: 0.525312
chA: 2 chB: 4 | avgC: 30.2494 avgA: 191.962 avgB: 76.2854 MNR: 0.378481 GNR: 0.240978 DICE: 0.217856
chA: 3 chB: 4 | avgC: 32.1393 avgA: 151.407 avgB: 76.2854 MNR: 0.400349 GNR: 0.284581 DICE: 0.268089

# ---------- 15 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 26.7919 avgA: 42.3575 avgB: 97.9412 MNR: 0.621595 GNR: 0.39778 DICE: 0.360398
chA: 0 chB: 2 | avgC: 17.0611 avgA: 42.3575 avgB: 212.17 MNR: 0.386845 GNR: 0.174154 DICE: 0.13191
chA: 0 chB: 3 | avgC: 19.1765 avgA: 42.3575 avgB: 176.278 MNR: 0.442741 GNR: 0.214242 DICE: 0.169094
chA: 0 chB: 4 | avgC: 13.0181 avgA: 42.3575 avgB: 85.6584 MNR: 0.295648 GNR: 0.201141 DICE: 0.186322
chA: 1 chB: 2 | avgC: 35.436 avgA: 97.3551 avgB: 210.847 MNR: 0.352349 GNR: 0.243985 DICE: 0.227049
chA: 1 chB: 3 | avgC: 41.8539 avgA: 97.3551 avgB: 175.18 MNR: 0.411609 GNR: 0.310025 DICE: 0.296733
chA: 1 chB: 4 | avgC: 22.209 avgA: 97.3551 avgB: 85.1191 MNR: 0.254138 GNR: 0.229414 DICE: 0.22762
chA: 2 chB: 3 | avgC: 112.681 avgA: 210.847 avgB: 175.18 MNR: 0.632042 GNR: 0.577452 DICE: 0.574197
chA: 2 chB: 4 | avgC: 35.2 avgA: 210.847 avgB: 85.1191 MNR: 0.402583 GNR: 0.256434 DICE: 0.231966
chA: 3 chB: 4 | avgC: 39.027 avgA: 175.18 avgB: 85.1191 MNR: 0.440852 GNR: 0.308063 DICE: 0.288619

# ---------- 16 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 4.51835 avgA: 19.3739 avgB: 34.3601 MNR: 0.192689 GNR: 0.130505 DICE: 0.120365
