# ---------- 01 Per-Channel Summary ----------
chA: 3 chB: 4 | avgC: 131.319 avgA: 380.371 avgB: 422.586 MNR: 0.345537 GNR: 0.32129 DICE: 0.319919

# ---------- 18 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 198.944 avgA: 301.828 avgB: 435.393 MNR: 0.662587 GNR: 0.548117 DICE: 0.537033
chA: 0 chB: 2 | avgC: 83.7958 avgA: 301.825 avgB: 402.271 MNR: 0.280246 GNR: 0.239481 DICE: 0.236051
chA: 0 chB: 3 | avgC: 98.4771 avgA: 301.823 avgB: 373.773 MNR: 0.333419 GNR: 0.290206 DICE: 0.286784
chA: 0 chB: 4 | avgC: 100.492 avgA: 301.82 avgB: 422.09 MNR: 0.336802 GNR: 0.280682 DICE: 0.275586
chA: 1 chB: 2 | avgC: 136.264 avgA: 435.391 avgB: 402.27 MNR: 0.341552 GNR: 0.318602 DICE: 0.317432
chA: 1 chB: 3 | avgC: 143.848 avgA: 435.391 avgB: 373.772 MNR: 0.376764 GNR: 0.347989 DICE: 0.346347
chA: 1 chB: 4 | avgC: 174.56 avgA: 435.391 avgB: 422.09 MNR: 0.415286 GNR: 0.398833 DICE: 0.398293
chA: 2 chB: 3 | avgC: 312.866 avgA: 402.268 avgB: 373.771 MNR: 0.842556 GNR: 0.792759 DICE: 0.790355
chA: 2 chB: 4 | avgC: 122.548 avgA: 402.266 avgB: 422.086 MNR: 0.307912 GNR: 0.292224 DICE: 0.291606
chA: 3 chB: 4 | avgC: 128.595 avgA: 373.771 avgB: 422.086 MNR: 0.343714 GNR: 0.317792 DICE: 0.316256

# ---------- 19 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 206.536 avgA: 311.66 avgB: 444.339 MNR: 0.666087 GNR: 0.554128 DICE: 0.543622
chA: 0 chB: 2 | avgC: 89.5984 avgA: 311.654 avgB: 409.698 MNR: 0.289658 GNR: 0.249516 DICE: 0.246323
chA: 0 chB: 3 | avgC: 107.799 avgA: 311.651 avgB: 398.868 MNR: 0.349265 GNR: 0.301789 DICE: 0.297889
chA: 0 chB: 4 | avgC: 104.634 avgA: 311.647 avgB: 430.133 MNR: 0.338948 GNR: 0.284638 DICE: 0.2799
chA: 1 chB: 2 | avgC: 140.285 avgA: 444.336 avgB: 409.697 MNR: 0.344641 GNR: 0.322227 DICE: 0.321167
chA: 1 chB: 3 | avgC: 153.367 avgA: 444.336 avgB: 398.866 MNR: 0.378625 GNR: 0.355847 DICE: 0.354731
chA: 1 chB: 4 | avgC: 176.663 avgA: 444.336 avgB: 430.132 MNR: 0.412939 GNR: 0.396297 DICE: 0.395757
chA: 2 chB: 3 | avgC: 335.811 avgA: 409.697 avgB: 398.866 MNR: 0.862812 GNR: 0.816434 DICE: 0.81433
chA: 2 chB: 4 | avgC: 125.136 avgA: 409.697 avgB: 430.131 MNR: 0.30949 GNR: 0.293909 DICE: 0.293355
chA: 3 chB: 4 | avgC: 135.571 avgA: 398.862 avgB: 430.124 MNR: 0.343123 GNR: 0.321244 DICE: 0.320018

# ---------- 20 Per-Channel Summary ----------
chA: 0 chB: 1 | avgC: 204.555 avgA: 308.421 avgB: 439.542 MNR: 0.665265 GNR: 0.553629 DICE: 0.543194
